track_name,artist(s)_name,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,artist_count,released_year,released_month,released_day,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,speechiness_%,liveness_%,key,mode
'Till I Collapse,"Eminem, Nate Dogg",22923,1695712020,78,2515,2,2002,5,26,0,46,1,0,171,55,10,85,7,0,20,8,C#,Major
(It Goes Like) Nanana - Edit,Peggy Gou,2259,57876440,0,109,1,2023,6,15,59,0,17,0,130,67,96,88,12,19,4,8,G,Minor
10 Things I Hate About You,Leah Kate,1301,185550869,23,15,1,2022,3,23,0,1,0,0,154,54,45,79,1,0,5,17,G#,Major
10:35,"Tiï¿½ï¿½sto, Tate M",4942,325592432,190,147,2,2022,11,1,26,104,18,63,120,70,70,79,7,0,10,18,G#,Major
2 Be Loved (Am I Ready),Lizzo,3682,247689123,41,158,1,2022,7,14,6,0,2,68,156,72,92,77,9,0,11,8,G,Major
2055,Sleepy hallow,2226,624515457,29,44,1,2021,4,14,0,0,0,0,161,78,65,52,46,0,31,12,F#,Minor
212,"Mainstreet, Chefin",352,143139338,10,39,2,2022,1,15,0,0,0,0,154,79,86,52,66,0,7,9,D,Minor
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",620,54937991,17,3,2,2022,1,7,0,3,0,0,115,90,74,54,16,0,28,13,F,Minor
295,Sidhu Moose Wala,246,183273246,4,0,1,2021,5,15,4,106,0,7,90,68,54,76,21,0,20,11,B,Minor
505,Arctic Monkeys,13985,1217120710,30,588,1,2007,4,20,25,80,1,1,140,52,20,85,0,0,5,7,,Major
69,"Nicky Jam, Feid",1134,57945987,39,48,2,2023,5,18,22,14,2,3,93,79,58,62,11,0,23,11,G#,Major
A Holly Jolly Christmas - Single Version,Burl Ives,7930,395591396,108,73,1,1952,1,1,0,120,0,0,140,67,81,36,64,0,3,15,,Major
A Tale By Quincy,The Weeknd,733,41924466,0,2,1,2022,1,7,0,2,0,0,94,46,55,50,71,0,11,10,F,Minor
A Tu Merced,Bad Bunny,4214,685071800,21,40,1,2020,2,29,11,20,0,0,92,86,89,79,17,0,6,11,,Major
A Veces (feat. Feid),"Feid, Paulo Londra",573,73513683,2,7,2,2022,11,3,0,0,0,0,92,80,81,67,4,0,6,8,C#,Major
ALIEN SUPERSTAR,Beyoncï¿,2688,171788484,39,36,1,2022,7,29,0,47,0,0,122,55,46,64,0,0,10,17,A#,Minor
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",6556,528544703,93,67,3,2021,6,24,0,5,1,0,172,74,79,66,11,0,16,8,F#,Minor
AMARGURA,Karol G,1133,153372011,14,23,1,2023,2,24,39,71,10,176,107,92,55,70,18,0,7,15,F#,Minor
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",896,57089066,34,33,2,2023,5,19,0,2,0,1,126,78,20,70,1,0,4,16,C#,Major
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",995,463564958,12,9,3,2022,11,24,19,117,5,3,136,77,79,73,15,0,10,27,B,Minor
ANTIFRAGILE,LE SSERAFIM,761,301051721,23,11,1,2022,10,17,12,95,0,3,105,88,82,80,8,0,8,11,A#,Minor
Abcdario,"Junior H, Eden Muï¿½ï",262,89933133,8,4,2,2023,5,13,5,60,1,109,129,70,42,43,78,0,3,11,G#,Major
About Damn Time,Lizzo,11353,1447788946,242,297,1,2022,6,14,1,24,10,12,109,84,72,74,10,0,7,34,A#,Minor
Acapulco,Jason Derulo,3098,363467642,111,182,1,2021,9,1,0,5,1,0,122,77,51,79,5,0,5,16,A#,Major
Acrï¿½ï¿½s,Shakira,955,123124076,37,79,1,2023,5,11,29,50,11,31,144,75,35,48,84,0,12,10,B,Major
Adore You,Harry Styles,13454,1439191367,246,519,1,2019,12,6,1,71,2,5,99,68,57,77,2,0,5,10,G#,Major
Afraid To Feel,LF System,5898,244790012,129,128,1,2022,5,2,5,55,0,101,128,58,68,91,2,0,11,27,C#,Major
After Dark,Mr.Kitty,1776,646886885,1,3,1,2014,8,8,14,9,0,0,140,58,4,60,7,41,3,8,G#,Major
After Hours,The Weeknd,8084,698086140,45,218,1,2020,2,19,6,115,1,221,109,66,16,57,10,1,3,12,F,Minor
After LIKE,IVE,767,265548837,20,11,1,2022,8,22,12,129,0,12,125,68,80,92,10,0,12,9,,Major
Agosto,Bad Bunny,897,246127838,6,8,1,2022,5,6,0,20,0,0,115,85,72,58,9,0,12,49,C#,Minor
Aguacero,Bad Bunny,829,283359161,4,10,1,2022,5,6,0,15,0,0,121,86,67,65,42,0,7,35,F#,Minor
Agudo Mï¿½ï¿½gi,"Styrx, utku INC, Thezth",323,90598517,4,14,3,1930,1,1,0,0,0,0,130,65,49,80,22,4,5,7,F#,Minor
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",894,176103902,28,54,3,2022,6,3,4,0,0,0,130,95,83,57,54,0,25,10,F#,Major
Ain't Shit,Doja Cat,3436,499710590,32,46,1,2021,6,25,0,6,0,1,124,86,62,49,51,0,21,35,D#,Major
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,356,88791109,4,0,1,2023,3,3,4,20,0,0,121,64,67,80,0,0,3,36,F#,Minor
Alien Blues,Vundabar,1930,370068639,3,28,1,2015,7,24,0,0,0,1,82,47,44,76,8,91,3,9,D#,Major
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",5342,426204830,33,7,2,2019,8,4,0,123,0,4,141,37,17,67,2,0,9,34,D#,Major
All I Want for Christmas Is You,Mariah Carey,25653,1449779435,387,2094,1,1994,10,28,0,132,0,,150,34,33,63,16,0,4,7,G,Major
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2175,144565150,69,69,2,2023,5,12,23,145,2,478,143,83,69,44,15,0,33,10,D#,Major
All Of The Girls You Loved Before,Taylor Swift,1282,185240616,26,19,1,2019,8,23,6,6,0,5,96,72,40,47,71,0,4,13,D,Major
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",259,37126685,5,5,3,2023,6,2,0,17,0,0,135,77,28,55,18,0,15,22,A,Minor
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,4635,583687007,50,30,1,2021,11,12,5,49,1,2,93,63,21,52,28,0,3,9,,Major
All of Me,John Legend,27221,2086124197,308,4534,1,2013,8,1,0,118,2,77,120,42,33,26,92,0,3,13,G#,Major
Alone,Burna Boy,782,96007391,27,32,1,2022,11,4,2,18,1,0,90,61,32,67,15,0,5,11,E,Minor
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",727,94186466,17,28,3,2023,6,2,16,60,1,44,90,60,13,53,4,0,4,21,A,Minor
